Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Sx07,Sx08,Sx09,r,theta,theta_enc,z,Pre,T
53.97,59.57,57,53.15,65.78,51.04,53.64,55.46,49.78,56.57,0,0,0.09,0,995.8,23.95
54.83,55.93,53.12,57.6,64.82,51.98,56.43,56.42,49.78,58.35,0,0,0.09,0,996.1,23.96
53.97,55.93,55.06,54.93,61.94,52.92,53.64,56.42,51.76,55.68,0,0,0.09,0,995.5,23.99
53.97,55.02,57,57.6,63.86,50.1,56.43,57.38,49.78,59.24,0,0,0.09,0,995.6,24.03
56.55,57.75,57,54.93,62.9,51.04,55.5,58.34,50.77,58.35,0,0,0.09,0,996,24.04
53.11,56.84,56.03,55.82,62.9,51.04,54.57,56.42,45.82,56.57,0,0,0.09,0,996.2,24.04
54.83,55.93,54.09,54.04,63.86,51.98,57.36,57.38,48.79,57.46,0,0,0.09,0,995.8,24.05
56.55,56.84,54.09,55.82,63.86,52.92,54.57,57.38,48.79,54.79,0,0,0.09,0,995.7,24.04
53.97,54.11,53.12,54.93,61.94,52.92,55.5,56.42,47.8,55.68,0,0,0.09,0,995.8,24.05
55.69,55.93,53.12,55.82,63.86,53.86,55.5,55.46,50.77,55.68,0,0,0.09,0,995.9,24.03
53.97,56.84,52.15,54.93,62.9,53.86,51.78,56.42,48.79,56.57,0,0,0.09,0,995.5,24
53.97,55.93,53.12,54.04,62.9,52.92,53.64,58.34,50.77,54.79,0,0,0.04,0,995.6,24.01
52.25,55.02,54.09,54.04,63.86,53.86,53.64,59.3,48.79,56.57,0,0,0.09,0,995.8,24.06
54.83,55.02,54.09,54.93,63.86,51.98,54.57,58.34,49.78,56.57,0,0,0.09,0,995.5,24.05
54.83,55.93,55.06,54.04,64.82,53.86,54.57,57.38,47.8,57.46,0,0,0.09,0,996,24.09
54.83,55.93,55.06,55.82,63.86,54.8,56.43,55.46,47.8,57.46,0,0,0.09,0,995.9,24.08
53.11,56.84,55.06,54.04,63.86,53.86,53.64,55.46,47.8,58.35,0,0,0.09,0,996.1,24.04
54.83,55.02,56.03,55.82,63.86,51.98,51.78,56.42,48.79,57.46,0,0,0.09,0,995.2,24.06
53.97,55.93,55.06,54.93,63.86,53.86,53.64,57.38,48.79,58.35,0,0,0.09,0,995.9,24.06
53.97,55.02,55.06,53.15,63.86,51.98,55.5,56.42,46.81,56.57,0,0,0.09,0,996.2,24.07
56.55,57.75,55.06,54.93,61.94,52.92,55.5,54.5,48.79,58.35,0,0,0.09,0,995.5,24.08
53.97,55.93,55.06,54.93,63.86,53.86,55.5,56.42,45.82,57.46,0,0,0.09,0,995.4,24.15
54.83,55.93,53.12,56.71,63.86,52.92,53.64,54.5,47.8,55.68,0,0,0.09,0,996.2,24.11
53.97,55.02,54.09,57.6,62.9,52.92,54.57,54.5,47.8,56.57,0,0,0.09,0,995.4,24.03
54.83,55.02,54.09,54.04,64.82,51.98,52.71,55.46,50.77,60.13,0,0,0.09,0,996.1,24.09
56.55,55.93,55.06,57.6,64.82,53.86,54.57,57.38,48.79,57.46,0,0,0.09,0,995.5,24.06
54.83,55.02,55.06,54.93,62.9,53.86,54.57,57.38,47.8,57.46,0,0,0.09,0,995.6,24.07
53.97,55.93,57.97,57.6,65.78,51.98,53.64,56.42,46.81,57.46,0,0,0.09,0,995.4,24.03
53.97,55.93,58.94,54.93,63.86,52.92,54.57,53.54,47.8,58.35,0,0,0.09,0,995.9,24.11
53.11,55.93,54.09,55.82,64.82,54.8,54.57,53.54,47.8,58.35,0,0,0.09,0,995.4,24.08
53.11,55.02,55.06,54.04,61.94,52.92,54.57,54.5,49.78,57.46,0,0,0.09,0,995.8,24.09
54.83,55.93,56.03,55.82,63.86,51.98,56.43,53.54,47.8,57.46,0,0,0.04,0,995.7,24.07
53.97,55.93,53.12,54.04,63.86,53.86,54.57,52.58,46.81,58.35,0,0,0.09,0,995.7,24.08
53.97,54.11,56.03,55.82,65.78,52.92,52.71,55.46,46.81,56.57,0,0,0.09,0,995.9,24.07
53.97,55.02,55.06,54.04,62.9,51.98,53.64,55.46,44.83,58.35,0,0,0.09,0,996.2,24.1
