Sx00cos,Sx00sin,Sx01cos,Sx01sin,Sx02cos,Sx02sin,Sx03cos,Sx03sin,Sx04cos,Sx04sin,Sx05cos,Sx05sin,Sx06cos,Sx06sin,Sx07cos,Sx07sin,Sx08cos,Sx08sin,Sx09cos,Sx09sin,r,cos,sin,z
30.2,0,25.56493945,18.57401063,9.27051729,28.53169307,-9.826728561,30.24360107,-23.13787725,16.81067031,-31.6,0,-23.6233097,-17.16331084,-9.208732366,-28.34147576,9.023267195,-27.77085971,26.69753799,-19.39694473,0.8,1,0,36
31,0,25.72674286,18.69156766,9.085106945,27.9610592,-9.703121912,29.86317842,-22.97607391,16.69311318,-31.4,0,-23.46150621,-17.04575392,-9.270535938,-28.53168701,9.270479994,-28.53170518,27.18294778,-19.74961646,0.8,1,0,36
31.6,0,25.72674286,18.69156766,9.146910393,28.15127049,-9.579515264,29.48275576,-23.46148392,17.04578458,-32.4,0,-23.6233097,-17.16331084,-9.579553803,-29.48274324,9.270479994,-28.53170518,27.34475104,-19.8671737,0.8,1,0,36
31.2,0,26.05034969,18.92668172,9.146910393,28.15127049,-9.51771194,29.29254443,-23.29968059,16.92822745,-32.2,0,-23.29970271,-16.92819699,-9.888571668,-30.43379947,9.146873594,-28.15128245,27.34475104,-19.8671737,0.8,1,0,36
31.6,0,26.53575994,19.27935281,9.085106945,27.9610592,-9.455908615,29.10233311,-23.13787725,16.81067031,-32.6,0,-23.13789922,-16.81064007,-10.25939311,-31.57506695,9.085070395,-27.96107108,27.18294778,-19.74961646,0.8,1,0,36
32.6,0,26.37395652,19.16179578,8.961500047,27.58063663,-9.51771194,29.29254443,-22.97607391,16.69311318,-33,0,-23.29970271,-16.92819699,-10.19758953,-31.38485571,9.023267195,-27.77085971,26.85934126,-19.51450198,0.8,1,0,36
32.8,0,26.53575994,19.27935281,9.085106945,27.9610592,-9.394105291,28.91212178,-23.46148392,17.04578458,-33.6,0,-23.78511319,-17.28086776,-10.44480382,-32.14570069,8.961463995,-27.58064834,26.69753799,-19.39694473,0.8,1,0,36
32.6,0,26.85936676,19.51446687,9.146910393,28.15127049,-9.579515264,29.48275576,-24.27050061,17.63357026,-33,0,-23.46150621,-17.04575392,-10.38300025,-31.95548945,8.837857595,-27.20022561,27.02114452,-19.63205922,0.8,1,0,36
33,0,26.53575994,19.27935281,9.085106945,27.9610592,-9.641318588,29.67296709,-24.43230395,17.75112739,-33.2,0,-23.13789922,-16.81064007,-10.38300025,-31.95548945,8.652447995,-26.6295915,26.69753799,-19.39694473,0.8,1,0,36
32.8,0,26.53575994,19.27935281,9.085106945,27.9610592,-9.826728561,30.24360107,-24.10869727,17.51601312,-32.4,0,-23.29970271,-16.92819699,-10.32119668,-31.7652782,8.652447995,-26.6295915,26.69753799,-19.39694473,0.8,1,0,36
31.6,0,26.53575994,19.27935281,9.085106945,27.9610592,-9.826728561,30.24360107,-24.10869727,17.51601312,-31.8,0,-22.97609573,-16.69308314,-9.950375241,-30.62401072,8.776054395,-27.01001424,26.69753799,-19.39694473,0.8,1,0,36
31,0,26.21215311,19.04423875,9.023303496,27.77084792,-10.01213853,30.81423505,-24.10869727,17.51601312,-31.2,0,-22.81429224,-16.57552622,-9.826768095,-30.24358823,8.714251195,-26.81980287,26.53573473,-19.27938749,0.8,1,0,36
30.8,0,26.05034969,18.92668172,8.899696599,27.39042534,-9.95033521,30.62402373,-23.46148392,17.04578458,-30.6,0,-23.13789922,-16.81064007,-9.579553803,-29.48274324,8.776054395,-27.01001424,26.53573473,-19.27938749,0.8,1,0,36
29.4,0,26.37395652,19.16179578,8.961500047,27.58063663,-9.764925237,30.05338974,-22.65246724,16.45799891,-30.4,0,-23.6233097,-17.16331084,-9.51775023,-29.29253199,8.899660795,-27.39043698,27.02114452,-19.63205922,0.8,1,0,36
29.4,0,26.37395652,19.16179578,8.961500047,27.58063663,-9.641318588,29.67296709,-23.62328726,17.16334172,-30.4,0,-23.94691668,-17.39842469,-9.51775023,-29.29253199,8.899660795,-27.39043698,27.5065543,-19.98473094,0.8,1,0,36
29.8,0,25.88854628,18.80912469,9.208713842,28.34148178,-9.703121912,29.86317842,-23.62328726,17.16334172,-30.4,0,-24.10872017,-17.51598161,-10.07398239,-31.00443321,8.961463995,-27.58064834,27.66835756,-20.10228818,0.8,1,0,36
29,0,26.21215311,19.04423875,9.208713842,28.34148178,-9.764925237,30.05338974,-24.10869727,17.51601312,-30.8,0,-24.27052366,-17.63353853,-9.826768095,-30.24358823,8.961463995,-27.58064834,27.5065543,-19.98473094,0.8,1,0,36
28.6,0,26.21215311,19.04423875,9.394124188,28.91211564,-9.764925237,30.05338974,-24.43230395,17.75112739,-32,0,-24.10872017,-17.51598161,-9.764964522,-30.05337698,8.961463995,-27.58064834,27.02114452,-19.63205922,0.8,1,0,36
29.6,0,25.72674286,18.69156766,9.394124188,28.91211564,-9.826728561,30.24360107,-25.0795173,18.22135593,-32.2,0,-23.94691668,-17.39842469,-9.332339511,-28.72189825,8.899660795,-27.39043698,27.18294778,-19.74961646,0.8,1,0,36
29.4,0,25.40313604,18.4564536,9.455927636,29.10232693,-9.641318588,29.67296709,-24.75591062,17.98624166,-32,0,-23.78511319,-17.28086776,-9.270535938,-28.53168701,8.652447995,-26.6295915,27.18294778,-19.74961646,0.8,1,0,36
