Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Sx07,Sx08,Sx09,r,theta,theta_enc,z,Pressure,Temperature
54.83,55.02,57,55.82,66.74,50.1,56.43,56.42,45.82,56.57,0,0,0.04,0,998.6,24.12
53.97,55.02,55.06,55.82,66.74,51.98,56.43,59.3,46.81,56.57,0,0,0.04,0,999.1,24.13
55.69,55.93,54.09,56.71,66.74,51.04,58.29,58.34,47.8,55.68,0,0,0.04,0,998.7,24.12
53.97,55.93,56.03,55.82,65.78,51.04,57.36,57.38,46.81,57.46,0,0,0.04,0,998.6,24.12
55.69,55.02,55.06,55.82,64.82,51.04,57.36,58.34,48.79,55.68,0,0,0.04,0,998.9,24.14
55.69,54.11,56.03,54.93,66.74,51.98,56.43,58.34,48.79,55.68,0,0,0.04,0,998.6,24.14
54.83,54.11,56.03,56.71,66.74,51.04,57.36,59.3,45.82,54.79,0,0,0.04,0,999.9,24.18
55.69,54.11,56.03,57.6,64.82,52.92,57.36,58.34,46.81,55.68,0,0,0.04,0,999,24.13
54.83,55.02,56.03,55.82,66.74,51.98,57.36,58.34,48.79,56.57,0,0,0.04,0,998.5,24.16
56.55,55.02,54.09,55.82,64.82,51.98,56.43,59.3,47.8,55.68,0,0,0.04,0,999.2,24.17
54.83,53.2,54.09,55.82,66.74,51.98,56.43,58.34,46.81,55.68,0,0,0.09,0,998.2,24.11
56.55,54.11,56.03,56.71,65.78,51.98,54.57,58.34,47.8,55.68,0,0,0.04,0,999,24.16
55.69,55.02,55.06,55.82,66.74,50.1,56.43,59.3,46.81,56.57,0,0,0.04,0,998.2,24.16
56.55,55.93,56.03,56.71,66.74,50.1,58.29,58.34,47.8,55.68,0,0,0.04,0,999.5,24.2
55.69,54.11,56.03,56.71,66.74,50.1,56.43,55.46,47.8,56.57,0,0,0.04,0,999.3,24.14
57.41,55.02,56.03,55.82,65.78,50.1,57.36,58.34,47.8,57.46,0,0,0.04,0,998.6,24.19
55.69,55.02,55.06,56.71,67.7,51.04,57.36,58.34,46.81,54.79,0,0,0.04,0,999.2,24.19
54.83,55.02,56.03,56.71,67.7,51.04,57.36,59.3,46.81,56.57,0,0,0.04,0,999.1,24.15
55.69,55.02,53.12,55.82,65.78,51.04,57.36,58.34,47.8,55.68,0,0,0.04,0,999.1,24.17
56.55,55.02,55.06,55.82,66.74,51.04,55.5,59.3,47.8,56.57,0,0,0.04,0,999.4,24.15
56.55,55.02,56.03,55.82,65.78,51.98,56.43,58.34,46.81,55.68,0,0,0.04,0,999.8,24.18
55.69,55.93,55.06,56.71,65.78,50.1,55.5,58.34,47.8,54.79,0,0,0.04,0,998.7,24.17
57.41,55.93,53.12,55.82,65.78,50.1,58.29,55.46,46.81,57.46,0.2,0,0.09,0,999,24.1
56.55,55.93,54.09,56.71,66.74,50.1,58.29,57.38,47.8,58.35,0.2,0,0.09,0,999.5,24.11
55.69,54.11,54.09,55.82,65.78,49.16,56.43,57.38,48.79,56.57,0.2,0,0.04,0,999.3,24.11
56.55,55.93,54.09,56.71,65.78,50.1,56.43,55.46,48.79,57.46,0.2,0,0.04,0,999.4,24.12
56.55,55.93,53.12,56.71,64.82,50.1,55.5,56.42,47.8,55.68,0.2,0,0.04,0,999.4,24.15
56.55,55.02,52.15,56.71,65.78,50.1,55.5,56.42,46.81,56.57,0.2,0,0.09,0,998.6,24.15
55.69,54.11,55.06,55.82,62.9,50.1,53.64,57.38,47.8,56.57,0.2,0,0.04,0,998.6,24.14
56.55,55.93,53.12,56.71,65.78,51.04,55.5,56.42,46.81,56.57,0.2,0,0.09,0,999.1,24.17
55.69,55.02,54.09,55.82,64.82,51.04,55.5,58.34,47.8,54.79,0.2,0,0.04,0,998.7,24.22
55.69,56.84,55.06,55.82,64.82,50.1,55.5,56.42,46.81,55.68,0.2,0,0.04,0,1000.2,24.18
56.55,56.84,51.18,55.82,65.78,50.1,55.5,58.34,45.82,56.57,0.2,0,0.04,0,999.4,24.17
56.55,55.93,54.09,56.71,66.74,50.1,55.5,57.38,47.8,56.57,0.2,0,0.04,0,999,24.18
56.55,55.02,54.09,55.82,65.78,50.1,56.43,58.34,47.8,54.79,0.2,0,0.04,0,999.4,24.17
56.55,55.93,54.09,54.93,65.78,50.1,56.43,59.3,47.8,56.57,0.2,0,0.04,0,998.8,24.19
57.41,55.02,55.06,54.93,66.74,50.1,55.5,58.34,46.81,57.46,0.2,0,0.04,0,999,24.17
56.55,55.93,55.06,54.93,66.74,49.16,58.29,57.38,46.81,55.68,0.2,0,0.09,0,999,24.18
56.55,55.02,55.06,55.82,65.78,50.1,56.43,56.42,47.8,57.46,0.2,0,0.09,0,998.7,24.16
56.55,55.02,54.09,54.93,66.74,49.16,56.43,58.34,46.81,55.68,0.2,0,0.04,0,999.1,24.18
56.55,55.93,55.06,55.82,63.86,49.16,57.36,58.34,46.81,56.57,0.2,0,0.04,0,998.6,24.2
56.55,54.11,55.06,56.71,65.78,49.16,57.36,57.38,47.8,56.57,0.2,0,0.04,0,998.5,24.16
56.55,55.02,55.06,55.82,65.78,49.16,57.36,58.34,47.8,55.68,0.2,0,0.09,0,998.9,24.17
56.55,55.93,56.03,55.82,65.78,48.22,54.57,58.34,47.8,56.57,0.2,0,0.09,0,998.4,24.18
57.41,55.02,55.06,57.6,67.7,49.16,56.43,57.38,46.81,55.68,0.4,0,0.04,0,998.6,24.12
56.55,55.02,56.03,55.82,66.74,49.16,57.36,56.42,46.81,54.79,0.4,0,0.04,0,999.5,24.15
57.41,55.02,57,55.82,66.74,48.22,57.36,57.38,48.79,56.57,0.4,0,0.04,0,998.7,24.14
55.69,55.02,56.03,54.04,66.74,48.22,56.43,57.38,48.79,54.79,0.4,0,0.04,0,998.5,24.16
57.41,55.93,55.06,54.04,65.78,48.22,56.43,56.42,48.79,56.57,0.4,0,0.04,0,998.7,24.17
56.55,55.02,57,54.93,66.74,47.28,57.36,56.42,48.79,54.79,0.4,0,0.04,0,999.5,24.18
55.69,55.02,56.03,55.82,65.78,46.34,55.5,55.46,48.79,55.68,0.4,0,0.04,0,998.7,24.16
56.55,55.02,55.06,54.93,66.74,48.22,56.43,56.42,51.76,55.68,0.4,0,0.04,0,999,24.17
55.69,55.93,54.09,54.93,64.82,49.16,57.36,55.46,48.79,55.68,0.4,0,0.04,0,999.3,24.16
56.55,56.84,55.06,54.93,63.86,48.22,57.36,55.46,51.76,56.57,0.4,0,0.04,0,998.7,24.2
56.55,55.93,55.06,54.04,64.82,48.22,56.43,53.54,51.76,55.68,0.4,0,0.04,0,998.8,24.15
54.83,55.93,55.06,54.04,64.82,49.16,57.36,55.46,50.77,56.57,0.4,0,0.04,0,999.6,24.18
57.41,56.84,54.09,54.93,65.78,47.28,56.43,56.42,51.76,56.57,0.4,0,0.04,0,999.1,24.16
56.55,55.02,54.09,54.93,65.78,49.16,56.43,56.42,50.77,56.57,0.4,0,0.04,0,999.2,24.21
