Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Sx07,Sx08,Sx09,r,theta,theta_enc,
67,67.67,58,57,63.67,95.67,82.67,100,69,63,0,0,0,
67.33,67.33,58.33,57.33,64.33,96,82.67,100,68.67,63,0,0,0,
67.33,67.33,57.33,58,63.67,96.67,83,99.67,69.33,62.67,0,0,0,
66.33,66.67,56.33,57.67,64,97,83,99.33,68.67,62.33,0,0,0,
65.67,66.33,56,58,63.67,96.67,82.33,99.33,69.33,63.33,0,0,0,
66,66,56.33,57.67,63.33,96.33,82,100.67,69.33,63.67,0,0,0,
66.67,66,56.33,58,63.33,95.67,82,101,69.33,63.67,0,0,0,
66.67,66,56.33,58.67,62.67,95.33,82.33,101.33,68.33,63,0,0,0,
66.33,66.33,55.67,60,63,95.33,82.33,101.33,67.67,62.67,0,0,0,
66,66.33,55.67,59.33,63,95.67,82.67,101.33,67.33,63,0,0,0,
65.67,66.67,56,58.33,63.67,96,83.33,101.67,67.67,63.67,0,0,0,
65.33,66.33,56,57.67,64.33,96,83.33,101.67,68.33,63,0,0,0,
65,66.67,56,58,64,96,83.33,101,69.33,63,0,0,0,
65.33,67,56,58.67,64.33,96.33,82.67,100,69.67,62.67,0,0,0,
65.67,67,57,58.33,64.33,96.33,82.67,100,69.33,62.67,0,0,0,
65.33,67,56.67,59,64.67,96.33,83.33,100.33,69.33,63,0,0,0,
65,66.33,56.33,58.67,64.33,96,83.67,100.67,69.67,63.33,0,0,0,
65,67,55.33,58.67,64,96.33,83.67,101,69.67,64,0,0,0,
65,67,55.33,58.67,63.67,96.33,82.67,100.67,69,63,0,0,0,
65.33,67.33,56,58.33,63.33,96.67,82.67,100.33,68.67,63,0,0,0,
65.67,67.33,56,58.67,63.33,96.33,83,100.33,68,63,0,0,0,
66.67,67.33,57,58.33,63,96.33,82.67,101,67.67,63.33,0,0,0,
67,67.33,57,58.33,63.33,96.33,83,101.33,67.67,62.67,0,0,0,
67.33,66.67,57.67,58.33,63.33,96,82.33,101.33,68.67,62.67,0,0,0,
67.33,67,57,58,63.33,96.33,83.67,101,70,62,0,0,0,
67.33,66.67,57,58.33,62.67,96,83.67,101,70.67,63,0,0,0,
66.67,67.33,57.67,58.33,62.67,96.33,84,100.33,70.33,63.67,0,0,0,
66.67,66.67,58,59,62.67,95.67,83.67,100.33,69.67,65,0,0,0,
66.67,67,57.67,59,63,95.67,83.67,100.33,69,64,0,0,0,
67.33,67.33,57.33,59,63,96,83.67,100.33,68.67,63.33,0,0,0,
67.33,67.67,57.33,58.67,63,96.33,83.67,100,69,62.67,0,0,0,
67.67,68.33,57.67,59,63,96.67,83,100.33,68.33,63.33,0,0,0,
67.33,67.67,57.67,59.33,62.33,96.33,83,100.67,68.33,63.67,0,0,0,
67,68,57,59.33,63,96.33,82.67,100.67,68,63.67,0,0,0,
66.33,67.33,56,59.33,63,96,83.67,100.67,69,63.33,0,0,0,
66,67.67,56,58.67,63,95.67,83.67,100.33,69,62.67,0,0,0,
66.33,67.67,56,58.67,62.67,95.67,84,100.67,69.33,63,0,0,0,
67,67.67,57,59.33,62.67,95.67,83.67,100.33,69,63,0,0,0,
67.33,67.33,57.33,59.67,63.33,95.67,83.67,100.67,69,63.33,0,0,0,
67.33,67.67,57,59.67,63.67,95.67,83.67,100.33,69.33,63.33,0,0,0,
67,67.33,56.67,59,64.33,95.67,83,100.33,69.33,63,0,0,0,
66.33,67,57,59.33,64,95.67,83.33,98.67,69.33,63,0.2,0,0,
66,66.67,59,59.67,63.67,95.67,83.33,98,69,63,0.2,0,0,
