Sx00cos,Sx00sin,Sx01cos,Sx01sin,Sx02cos,Sx02sin,Sx03cos,Sx03sin,Sx04cos,Sx04sin,Sx05cos,Sx05sin,Sx06cos,Sx06sin,Sx07cos,Sx07sin,Sx08cos,Sx08sin,Sx09cos,Sx09sin,r,cos,sin,z
30.6,0,24.59411896,17.86866845,9.27051729,28.53169307,-9.146891994,28.15127647,-23.62328726,17.16334172,-27.2,0,-19.41641893,-14.10683083,-8.528893063,-26.24915205,9.703102394,-29.86318476,27.66835756,-20.10228818,1.8,1,0,36
31.2,0,25.07952921,18.22133954,9.394124188,28.91211564,-9.332301967,28.72191045,-22.65246724,16.45799891,-27.2,0,-18.93100846,-13.75416006,-8.46708949,-26.0589408,9.455889594,-29.10233929,27.18294778,-19.74961646,1.8,1,0,36
30.4,0,25.56493945,18.57401063,9.27051729,28.53169307,-9.394105291,28.91212178,-20.71082719,15.04731329,-27.8,0,-18.44559798,-13.40148929,-8.590696636,-26.43936329,9.208676794,-28.34149382,26.85934126,-19.51450198,1.8,1,0,36
30.6,0,25.40313604,18.4564536,9.208713842,28.34148178,-9.394105291,28.91212178,-20.87263053,15.16487042,-27.8,0,-18.44559798,-13.40148929,-8.528893063,-26.24915205,9.332283194,-28.72191655,25.88852169,-18.80915853,1.8,1,0,36
30.2,0,25.56493945,18.57401063,9.146910393,28.15127049,-9.641318588,29.67296709,-20.38722051,14.81219902,-28.4,0,-18.28379449,-13.28393236,-8.281678772,-25.48830706,9.394086394,-28.91212792,25.88852169,-18.80915853,1.8,1,0,36
30,0,25.88854628,18.80912469,9.023303496,27.77084792,-9.764925237,30.05338974,-19.74000716,14.34197048,-29.2,0,-18.44559798,-13.40148929,-8.46708949,-26.0589408,9.332283194,-28.72191655,25.40311191,-18.45648681,1.8,1,0,36
29.6,0,25.88854628,18.80912469,9.023303496,27.77084792,-9.826728561,30.24360107,-18.44558046,13.4015134,-29.2,0,-19.25461544,-13.9892739,-8.528893063,-26.24915205,9.332283194,-28.72191655,25.40311191,-18.45648681,1.8,1,0,36
29,0,25.56493945,18.57401063,9.208713842,28.34148178,-10.01213853,30.81423505,-18.93099048,13.7541848,-29.4,0,-19.25461544,-13.9892739,-8.652500209,-26.62957454,9.579495994,-29.48276202,25.72671843,-18.69160129,1.8,1,0,36
28,0,26.05034969,18.92668172,9.27051729,28.53169307,-9.95033521,30.62402373,-19.09279381,13.87174194,-30,0,-19.25461544,-13.9892739,-8.776107355,-27.00999703,9.394086394,-28.91212792,26.53573473,-19.27938749,1.8,1,0,36
27.2,0,26.37395652,19.16179578,9.27051729,28.53169307,-9.703121912,29.86317842,-18.93099048,13.7541848,-29.2,0,-18.93100846,-13.75416006,-9.08512522,-27.96105327,9.332283194,-28.72191655,26.37393147,-19.16183025,1.8,1,0,36
26.8,0,26.21215311,19.04423875,9.27051729,28.53169307,-9.826728561,30.24360107,-19.57820383,14.22441334,-29.4,0,-18.76920496,-13.63660313,-9.08512522,-27.96105327,9.394086394,-28.91212792,25.88852169,-18.80915853,1.8,1,0,36
