Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,r,theta,z
36.95,46.51,55.44,56.02,33.97,71.28,63.43,0.6,359.96,0
37.8,48.72,53.37,58.88,32.98,76.89,58.13,0.6,359.96,0
36.95,45.4,54.41,59.84,38.93,68.47,60.25,0.6,359.96,0
38.65,47.62,56.48,57.93,34.96,71.28,59.19,0.6,359.96,0
37.8,49.83,54.41,57.93,32.98,71.28,59.19,0.6,359.96,0
38.65,54.26,54.41,57.93,35.95,67.06,58.13,0.6,359.96,0
36.11,49.83,53.37,56.98,26.04,71.28,62.37,0.6,359.96,0
35.26,46.51,54.41,59.84,33.97,68.47,61.31,0.6,359.96,0
35.26,46.51,56.48,56.98,35.95,72.68,60.25,0.6,359.96,0
38.65,50.94,55.44,57.93,37.94,71.28,60.25,0.6,359.96,0
39.5,47.62,52.33,56.98,38.93,68.47,57.07,0.6,359.96,0
36.95,42.08,54.41,55.07,41.9,68.47,59.19,0.6,359.96,0
38.65,53.15,54.41,57.93,41.9,69.87,58.13,0.6,359.96,0
36.11,50.94,54.41,58.88,36.94,69.87,56.01,0.6,359.96,0
36.11,46.51,54.41,56.02,31.99,74.08,57.07,0.6,359.96,0
37.8,45.4,57.51,56.98,39.92,69.87,61.31,0.6,359.96,0
38.65,47.62,54.41,57.93,39.92,72.68,58.13,0.6,359.96,0
37.8,44.3,55.44,57.93,37.94,69.87,58.13,0.6,359.96,0
36.95,48.72,57.51,55.07,32.98,72.68,57.07,0.6,359.96,0
37.8,52.04,53.37,57.93,39.92,74.08,57.07,0.6,359.96,0
38.65,48.72,51.3,56.98,35.95,69.87,62.37,0.6,359.96,0
39.5,48.72,53.37,59.84,33.97,71.28,59.19,0.6,359.96,0
36.95,49.83,55.44,56.02,34.96,68.47,60.25,0.6,359.96,0
37.8,45.4,52.33,58.88,27.03,68.47,58.13,0.6,359.96,0
36.95,50.94,56.48,58.88,31.99,69.87,61.31,0.6,359.96,0
36.95,47.62,56.48,56.02,42.89,72.68,58.13,0.6,359.96,0
36.95,45.4,53.37,56.98,33.97,72.68,60.25,0.6,359.96,0
37.8,48.72,52.33,56.98,42.89,67.06,60.25,0.6,359.96,0
36.11,46.51,51.3,55.07,41.9,69.87,58.13,0.6,359.96,0
36.95,48.72,54.41,58.88,38.93,69.87,57.07,0.6,359.96,0
39.5,45.4,54.41,57.93,40.91,67.06,58.13,0.6,359.96,0
38.65,44.3,55.44,56.98,38.93,69.87,58.13,0.6,359.96,0
36.11,47.62,52.33,55.07,40.91,69.87,59.19,0.6,359.96,0
38.65,48.72,51.3,58.88,40.91,72.68,56.01,0.6,359.96,0
37.8,50.94,51.3,58.88,37.94,75.49,59.19,0.6,359.96,0
38.65,48.72,52.33,59.84,36.94,75.49,60.25,0.6,359.96,0
38.65,44.3,55.44,56.02,33.97,69.87,59.19,0.6,359.96,0
37.8,44.3,51.3,56.98,48.84,74.08,58.13,0.6,359.96,0
36.11,52.04,51.3,56.02,41.9,78.3,60.25,0.6,359.96,0
36.95,49.83,54.41,57.93,50.82,67.06,59.19,0.6,359.96,0
37.8,45.4,54.41,57.93,43.88,72.68,61.31,0.6,359.96,0
36.95,50.94,54.41,55.07,44.87,68.47,60.25,0.6,359.96,0
34.41,49.83,52.33,56.02,46.85,74.08,58.13,0.6,359.96,0
36.95,49.83,53.37,56.98,35.95,72.68,63.43,0.6,359.96,0
36.11,46.51,50.26,58.88,39.92,74.08,60.25,0.6,359.96,0
37.8,48.72,52.33,56.98,46.85,67.06,61.31,0.6,359.96,0
37.8,50.94,53.37,55.07,37.94,68.47,60.25,0.6,359.96,0
36.95,53.15,53.37,56.02,44.87,65.66,59.19,0.6,359.96,0
36.11,56.47,52.33,58.88,39.92,69.87,58.13,0.6,359.96,0
36.11,49.83,54.41,56.02,40.91,72.68,58.13,0.6,359.96,0
40.35,47.62,53.37,58.88,40.91,71.28,60.25,0.6,359.96,0
36.11,46.51,54.41,56.98,41.9,71.28,60.25,0.6,359.96,0
38.65,57.58,53.37,56.02,40.91,69.87,60.25,0.6,359.96,0
37.8,53.15,54.41,59.84,43.88,74.08,57.07,0.6,359.96,0
36.95,49.83,54.41,58.88,43.88,72.68,58.13,0.6,359.96,0
37.8,47.62,53.37,58.88,39.92,72.68,60.25,0.6,359.96,0
36.95,50.94,50.26,55.07,40.91,75.49,59.19,0.6,359.96,0
35.26,45.4,52.33,57.93,42.89,69.87,60.25,0.6,359.96,0
36.95,52.04,56.48,60.79,41.9,72.68,60.25,0.6,359.96,0
39.5,48.72,52.33,55.07,44.87,69.87,59.19,0.6,359.96,0
38.65,55.37,55.44,55.07,40.91,76.89,59.19,0.6,359.96,0
36.95,53.15,55.44,56.98,44.87,72.68,59.19,0.6,359.96,0
36.11,55.37,54.41,57.93,41.9,76.89,62.37,0.6,359.96,0
36.11,52.04,51.3,56.98,43.88,68.47,59.19,0.6,359.96,0
36.11,47.62,52.33,57.93,48.84,72.68,59.19,0.6,359.96,0
37.8,56.47,53.37,56.02,42.89,69.87,58.13,0.6,359.96,0
36.95,47.62,51.3,56.02,42.89,65.66,59.19,0.6,359.96,0
36.95,52.04,52.33,61.75,43.88,74.08,59.19,0.6,359.96,0
37.8,53.15,52.33,56.02,41.9,72.68,62.37,0.6,359.96,0
37.8,53.15,54.41,56.98,43.88,69.87,61.31,0.6,359.96,0
36.95,47.62,53.37,57.93,42.89,76.89,58.13,0.6,359.96,0
36.95,53.15,51.3,57.93,45.86,72.68,58.13,0.6,359.96,0
36.95,53.15,52.33,57.93,43.88,72.68,56.01,0.6,359.96,0
