Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Sx07,Sx08,Sx09,r,theta,z
26,29,30,28,34,29,29,30,30,27,0,0,0
28,30,30,29,34,30,29,33,31,28,0,0,0
28,30,31,29,34,31,29,34,31,28,0,0,0
28,30,30,29,33,31,28,34,31,28,0,0,0
29,30,30,29,33,31,28,34,31,28,0,0,0
29,30,30,29,31,31,28,34,32,28,0,0,0
27,30,32,28,31,31,28,33,31,30,0,0,0
27,30,31,28,30,31,29,33,32,30,0,0,0
27,29,31,28,30,30,29,33,32,30,0,0,0
27,28,31,28,29,30,29,33,32,29,0,0,0
27,28,31,28,29,30,29,33,31,29,0,0,0
27,29,30,28,28,32,29,33,32,28,0,0,0
27,29,30,29,28,31,29,33,32,29,0,0,0
27,29,30,27,30,31,29,33,32,29,0,0,0
27,30,30,27,30,31,29,33,32,28,0,0,0
28,30,30,28,30,31,29,33,32,28,0,0,0
28,30,30,27,30,31,28,33,32,28,0,0,0
28,30,30,27,31,30,28,33,31,28,0,0,0
28,30,30,28,33,30,29,33,31,28,0,0,0
27,29,30,28,33,33,28,33,31,28,0,0,0
27,29,30,28,33,33,28,33,31,27,0,0,0
27,30,31,30,31,35,29,33,31,26,0,0,0
27,30,29,28,33,35,28,33,32,26,0,0,0
27,30,29,29,31,34,28,33,31,27,0,0,0
28,30,29,29,33,34,28,33,32,28,0,0,0
28,30,29,29,33,33,29,33,32,28,0,0,0
28,30,29,29,33,31,30,34,32,28,0,0,0
28,30,30,29,32,31,31,34,32,28,0,0,0
28,30,30,29,32,31,31,32,32,28,0,0,0
28,30,31,29,32,32,31,32,32,27,0,0,0
27,31,31,28,31,32,30,33,32,27,0,0,0
27,30,31,29,29,32,30,33,31,27,0,0,0
27,30,31,29,31,32,30,33,31,27,0,0,0
27,30,29,29,30,31,30,33,31,27,0,0,0
27,30,28,29,30,31,30,33,32,28,0,0,0
28,30,28,29,30,30,30,32,32,29,0,0,0
28,30,29,29,30,30,30,32,32,29,0,0,0
28,30,30,30,30,30,30,32,32,28,0,0,0
28,30,30,30,30,33,31,32,32,27,0,0,0
28,30,31,30,30,32,29,32,31,26,0,0,0
28,30,31,30,30,33,29,32,32,26,0,0,0
28,30,30,30,30,32,29,32,33,26,0,0,0
28,31,30,29,30,33,29,33,33,27,0,0,0
28,31,30,28,30,33,29,33,33,28,0,0,0
28,31,29,28,30,33,30,33,33,29,0,0,0
27,31,29,29,30,32,30,34,33,29,0,0,0
27,31,29,29,30,32,29,34,32,29,0,0,0
27,30,29,29,30,32,29,33,29,29,0,0,0
27,30,29,29,30,32,29,34,32,28,0,0,0
28,30,30,30,32,32,29,33,32,27,0,0,0
28,30,30,29,32,31,29,32,32,27,0,0,0
28,30,30,28,31,31,29,32,33,27,0,0,0
29,30,30,28,31,31,29,32,33,27,0,0,0
28,30,31,28,32,30,30,32,33,27,0,0,0
29,29,32,28,32,30,29,32,32,27,0,0,0
29,29,31,29,32,30,27,32,32,28,0,0,0
29,29,31,29,32,31,27,33,32,28,0,0,0
28,29,31,28,32,31,26,33,32,29,0,0,0
29,30,32,28,31,33,26,33,32,28,0,0,0
29,30,31,28,29,33,28,33,31,29,0,0,0
29,30,32,28,31,33,29,33,30,29,0,0,0
29,30,33,29,31,33,29,33,32,29,0,0,0
29,30,32,30,30,32,29,33,30,29,0.5,0,0
28,30,31,30,29,32,29,33,30,29,0.5,0,0
28,30,32,30,29,32,28,31,30,29,0.5,0,0
27,30,31,29,29,33,27,31,30,28,0.5,0,0
28,30,30,26,29,33,27,31,30,28,0.5,0,0
28,30,31,26,29,33,27,33,31,29,0.5,0,0
26,29,31,26,29,33,27,31,30,29,0.5,0,0
26,29,30,26,29,33,29,33,30,29,0.5,0,0
26,29,30,26,30,32,29,33,31,29,0.5,0,0
26,29,30,27,30,32,29,31,30,29,0.5,0,0
27,28,30,26,30,32,29,30,30,29,0.5,0,0
27,29,30,29,31,32,30,30,30,29,0.5,0,0
27,29,30,27,31,32,30,30,31,28,0.5,0,0
28,29,30,28,31,31,30,29,31,29,0.5,0,0
27,30,30,27,32,31,28,29,31,29,0.5,0,0
27,30,30,27,32,31,28,30,30,29,0.5,0,0
28,30,30,27,31,32,28,30,31,29,0.5,0,0
29,30,30,27,32,32,27,31,29,29,0.5,0,0
29,29,30,27,32,33,27,31,29,29,0.5,0,0
29,29,30,27,30,33,27,31,32,30,0.5,0,0
28,29,30,27,30,33,27,32,32,30,0.5,0,0
29,29,29,28,30,30,27,32,32,30,0.5,0,0
29,29,28,28,30,30,27,32,32,30,0.5,0,0
28,30,28,29,30,30,27,32,32,30,0.5,0,0
29,30,28,27,30,30,28,32,32,29,0.5,0,0
29,29,28,29,29,30,28,32,33,29,0.5,0,0
29,29,28,27,29,31,28,32,33,29,0.5,0,0
28,28,28,27,31,31,28,32,31,28,0.5,0,0
28,28,29,27,29,31,28,32,31,28,0.5,0,0
28,28,29,29,29,32,27,31,30,28,0.5,0,0
28,29,29,29,31,32,27,31,30,28,0.5,0,0
28,29,29,29,29,32,27,31,29,28,0.5,0,0
28,30,30,29,29,32,27,31,28,28,0.5,0,0
28,31,30,29,29,32,27,32,29,28,0.5,0,0
28,31,30,28,29,32,27,32,29,28,0.5,0,0
28,30,30,28,29,32,27,32,29,28,0.5,0,0
28,30,30,28,29,32,27,33,29,28,0.5,0,0
29,29,30,25,29,32,28,33,30,28,0.5,0,0
29,29,30,25,29,33,28,33,30,28,0.5,0,0
29,29,31,27,29,33,28,32,30,28,0.5,0,0
29,30,31,27,29,33,28,30,30,27,0.5,0,0
27,30,31,27,32,33,26,30,31,27,0.5,0,0
27,30,31,27,32,33,26,30,31,29,0.5,0,0
27,29,31,27,32,33,26,30,32,29,0.5,0,0
26,29,31,28,32,33,26,31,31,29,0.5,0,0
27,29,30,28,30,33,26,31,31,29,0.5,0,0
27,29,30,28,30,33,26,33,31,29,0.5,0,0
27,29,30,28,29,33,28,31,30,29,0.5,0,0
28,29,30,27,29,33,28,31,30,28,0.5,0,0
29,29,30,27,29,33,28,29,30,28,0.5,0,0
28,29,30,26,30,33,28,29,30,29,0.5,0,0
28,29,30,26,30,33,28,29,30,28,0.5,0,0
28,30,29,26,32,32,28,29,30,29,0.5,0,0
29,30,29,27,30,32,27,31,30,29,0.5,0,0
30,30,29,27,30,32,27,31,30,28,0.5,0,0
30,30,30,27,29,33,27,31,29,28,0.5,0,0
30,30,30,27,30,33,27,30,30,28,0.5,0,0
30,30,30,27,29,33,27,29,29,28,0.5,0,0
29,30,30,28,30,33,27,29,29,28,0.5,0,0
28,30,29,27,30,31,27,29,30,28,0.5,0,0
28,30,29,28,31,30,27,29,32,28,0.5,0,0
28,29,30,28,31,31,27,30,30,29,0.5,0,0
28,29,30,27,31,30,27,30,31,29,0.5,0,0
28,29,30,27,32,30,28,30,31,29,0.5,0,0
28,29,30,26,32,31,27,30,30,29,1,0,0
28,29,30,26,32,32,27,30,30,29,1,0,0
28,29,27,25,31,34,27,29,30,34,1,0,0
28,29,27,25,32,34,28,30,30,34,1,0,0
28,29,27,24,30,32,27,29,31,34,1,0,0
28,29,27,24,32,32,27,29,31,32,1,0,0
28,30,27,24,30,32,27,30,31,31,1,0,0
29,30,28,24,30,31,27,31,31,30,1,0,0
29,30,27,25,30,31,27,31,31,31,1,0,0
28,31,28,25,29,31,27,31,31,29,1,0,0
28,31,28,25,29,32,27,32,31,30,1,0,0
29,31,27,25,28,32,28,32,31,29,1,0,0
30,30,26,25,29,32,28,32,31,29,1,0,0
29,30,27,26,29,32,28,32,31,29,1,0,0
29,29,26,25,28,32,28,32,30,30,1,0,0
30,29,26,25,28,32,28,32,30,31,1,0,0
29,29,27,25,28,32,28,32,30,35,1,0,0
28,29,27,25,28,31,28,31,30,35,1,0,0
28,29,27,25,29,31,28,31,30,35,1,0,0
28,29,27,24,29,31,28,30,31,34,1,0,0
27,29,28,23,31,31,29,31,31,31,1,0,0
27,29,29,23,29,31,28,30,30,31,1,0,0
27,29,29,25,31,31,28,30,29,32,1,0,0
27,30,29,23,31,30,28,30,29,31,1,0,0
28,30,29,25,31,30,27,31,29,32,1,0,0
28,28,29,25,31,29,27,30,29,32,1,0,0
27,31,29,24,31,29,28,30,29,32,1,0,0
28,31,28,24,30,32,28,30,29,32,1,0,0
27,31,28,25,30,32,28,30,30,34,1,0,0
27,31,28,25,30,32,28,29,27,32,1,0,0
27,31,28,25,30,34,28,30,29,34,1,0,0
28,31,28,25,28,34,28,30,29,34,1,0,0
28,31,28,25,30,34,28,30,29,31,1,0,0
28,31,28,25,30,34,28,30,28,31,1,0,0
28,30,28,25,31,33,28,30,28,34,1,0,0
28,30,28,25,31,33,27,30,28,35,1,0,0
28,29,28,25,32,33,28,31,28,35,1,0,0
28,29,28,25,32,33,27,32,28,35,1,0,0
28,30,28,24,31,33,27,32,30,34,1,0,0
29,30,28,24,29,33,28,32,30,34,1,0,0
28,30,26,25,29,33,28,33,30,34,1,0,0
28,31,26,25,29,32,29,33,30,34,1,0,0
28,31,26,25,29,32,29,33,30,34,1,0,0
27,31,26,25,29,33,29,33,30,34,1,0,0
27,31,27,25,29,33,29,33,29,34,1,0,0
27,31,28,25,29,31,29,33,30,34,1,0,0
27,29,28,25,30,33,28,33,30,34,1,0,0
27,29,28,25,29,33,27,33,29,34,1,0,0
28,29,28,25,29,31,27,31,29,34,1,0,0
28,29,27,25,29,31,27,31,30,35,1,0,0
28,29,27,26,29,31,27,30,30,35,1,0,0
30,31,27,26,28,31,28,31,31,35,1,0,0
30,31,27,26,28,31,28,31,31,35,1,0,0
29,31,27,26,28,32,28,31,31,37,1,0,0
29,31,27,26,28,33,28,30,30,35,1,0,0
29,30,27,25,28,33,29,30,30,35,1,0,0
29,29,28,24,28,31,29,30,30,35,1,0,0
29,29,28,25,29,31,28,29,30,33,1,0,0
29,29,28,24,29,31,28,30,32,32,1,0,0
27,29,28,25,29,31,28,30,32,32,1,0,0
27,29,27,24,29,31,28,30,32,32,1,0,0
27,29,27,24,30,31,28,30,30,30,1,0,0
27,29,27,24,31,31,28,30,30,30,1,0,0
26,29,28,23,30,31,28,29,28,29,1,0,0
26,29,28,23,30,31,28,29,28,29,1.5,0,0
29,29,28,23,30,33,28,29,28,33,1.5,0,0
27,29,25,24,31,33,28,29,28,33,1.5,0,0
29,29,25,23,31,33,30,29,28,33,1.5,0,0
29,31,25,24,31,33,28,29,30,34,1.5,0,0
29,29,26,23,31,33,28,31,30,34,1.5,0,0
29,30,26,24,31,32,27,31,30,34,1.5,0,0
29,30,26,24,29,32,28,31,31,34,1.5,0,0
29,30,26,24,29,32,28,31,30,34,1.5,0,0
29,30,26,24,29,32,29,32,31,34,1.5,0,0
29,30,25,24,29,31,28,32,31,33,1.5,0,0
29,29,25,25,30,32,28,32,31,33,1.5,0,0
29,29,26,25,30,32,29,33,31,34,1.5,0,0
29,29,25,25,30,33,28,33,32,34,1.5,0,0
29,29,25,25,30,33,28,33,32,34,1.5,0,0
29,29,25,25,30,33,28,33,32,34,1.5,0,0
29,29,25,25,30,33,28,32,32,34,1.5,0,0
28,30,25,25,30,33,28,30,32,34,1.5,0,0
29,30,25,24,30,32,28,30,31,34,1.5,0,0
28,30,25,24,29,31,28,31,31,34,1.5,0,0
29,30,25,24,29,32,30,30,31,35,1.5,0,0
29,30,25,25,31,33,30,30,31,33,1.5,0,0
29,30,25,25,31,33,30,30,31,32,1.5,0,0
28,29,25,25,31,33,30,30,31,32,1.5,0,0
29,29,26,25,31,33,30,30,31,33,1.5,0,0
28,29,27,24,30,33,30,30,31,32,1.5,0,0
28,29,27,24,29,33,29,30,31,32,1.5,0,0
27,29,27,24,29,33,29,31,31,33,1.5,0,0
27,30,27,24,29,33,29,31,31,33,1.5,0,0
27,30,27,24,29,31,29,31,31,34,1.5,0,0
28,31,26,24,28,31,31,31,31,34,1.5,0,0
28,31,26,24,28,31,31,31,31,34,1.5,0,0
29,31,27,24,28,30,31,31,31,34,1.5,0,0
29,32,26,23,28,30,31,30,31,35,1.5,0,0
29,32,26,23,29,30,30,29,30,35,1.5,0,0
29,31,26,23,31,32,27,30,30,35,1.5,0,0
29,30,26,23,31,32,27,30,30,35,1.5,0,0
29,30,26,22,29,32,28,30,29,35,1.5,0,0
29,30,26,22,31,32,26,30,29,35,1.5,0,0
29,31,25,22,29,33,28,30,29,35,1.5,0,0
29,31,25,22,28,33,28,30,30,35,1.5,0,0
29,31,25,22,29,33,28,30,30,35,1.5,0,0
30,31,25,22,29,33,28,31,30,32,1.5,0,0
30,31,25,22,29,33,28,31,30,32,1.5,0,0
30,30,26,25,29,34,28,31,30,32,1.5,0,0
30,30,26,25,29,33,29,32,29,32,1.5,0,0
30,29,26,23,29,33,29,32,29,33,1.5,0,0
29,29,26,23,29,34,28,32,30,35,1.5,0,0
29,29,26,23,29,33,28,32,30,35,1.5,0,0
29,29,26,23,29,33,28,32,30,35,1.5,0,0
30,29,26,24,29,33,28,32,30,35,1.5,0,0
30,29,26,24,30,33,28,32,30,35,1.5,0,0
30,29,26,26,30,31,28,34,30,35,1.5,0,0
30,29,25,26,30,31,29,32,30,35,1.5,0,0
30,29,25,26,30,31,29,32,30,35,1.5,0,0
30,28,25,26,30,31,29,32,30,36,1.5,0,0
30,28,25,25,30,31,29,33,30,36,1.5,0,0
30,28,25,24,30,32,29,32,30,36,1.5,0,0
30,27,26,23,30,33,29,33,29,35,1.5,0,0
30,28,27,24,30,33,29,33,29,34,1.5,0,0
29,28,27,24,31,33,27,32,29,34,1.5,0,0
29,29,27,24,31,33,28,32,29,33,1.5,0,0
29,29,26,24,30,33,28,32,29,34,1.5,0,0
29,29,26,24,30,33,28,29,29,34,1.5,0,0
29,29,26,24,29,33,28,29,30,36,0,30,0
30,29,26,25,29,33,28,32,31,34,0,30,0
29,30,28,27,29,33,28,29,31,36,0,30,0
29,30,30,29,29,33,28,29,31,36,0,30,0
29,30,30,29,31,34,29,31,31,36,0,30,0
29,30,29,30,31,34,28,31,30,33,0,30,0
29,30,30,30,32,33,29,31,30,34,0,30,0
29,30,29,30,32,33,29,31,30,33,0,30,0
29,30,29,30,31,33,29,31,29,33,0,30,0
28,29,29,30,29,33,29,31,29,34,0,30,0
28,29,29,30,29,33,29,31,29,36,0,30,0
28,29,29,29,29,32,29,30,30,36,0,30,0
28,29,29,29,29,31,29,30,30,36,0,30,0
27,29,30,29,29,32,29,30,30,34,0,30,0
27,29,30,29,28,32,29,30,31,34,0,30,0
27,29,29,29,28,31,29,31,32,34,0,30,0
27,30,30,29,29,33,29,31,32,36,0,30,0
28,31,30,29,31,33,29,31,32,36,0,30,0
28,31,30,29,32,33,30,31,31,36,0,30,0
28,31,30,29,32,33,29,31,30,36,0,30,0
28,31,30,29,32,33,31,31,30,33,0,30,0
29,31,30,29,32,33,31,30,30,33,0,30,0
29,31,30,29,31,34,29,30,30,33,0,30,0
28,31,29,29,31,34,29,30,30,33,0,30,0
29,31,30,30,30,34,29,29,30,33,0,30,0
29,31,29,31,30,34,29,29,30,33,0,30,0
28,31,29,30,31,34,29,29,30,32,0,30,0
29,31,29,30,31,34,29,30,31,32,0,30,0
29,31,29,30,31,35,29,29,31,33,0,30,0
29,30,29,30,32,34,29,30,31,33,0,30,0
29,30,29,30,32,34,29,30,31,35,0,30,0
29,30,30,29,32,33,29,30,30,35,0,30,0
29,30,30,30,32,32,29,30,30,36,0,30,0
29,30,30,30,32,31,29,30,29,35,0,30,0
28,31,30,29,29,31,29,29,30,35,0,30,0
28,31,30,29,29,31,29,28,30,34,0,30,0
28,31,30,29,29,31,29,28,29,32,0,30,0
28,30,30,28,29,33,29,28,29,32,0,30,0
