Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Force,z,theta,r
34,40,43,35,40,39,46,0.66,0,0,"2
"
34,40,43,35,40,39,46,0.51,0,0,"2
"
34,38,49,38,40,39,46,0.45,0,0,"2
"
34,38,49,38,44,36,48,0.45,0,0,"2
"
34,38,49,38,44,36,48,0.48,0,0,"2
"
35,37,49,34,44,35,46,0.48,0,0,"2
"
35,37,49,34,44,35,46,0.47,0,0,"2
"
35,37,49,34,44,35,46,0.4,0,0,"2
"
36,37,48,36,45,36,47,0.36,0,0,"2
"
36,37,48,36,45,36,47,0.39,0,0,"2
"
37,35,47,36,42,36,44,0.36,0,0,"2
"
37,35,47,36,42,36,44,0.44,0,0,"2
"
37,35,47,36,42,36,44,0.35,0,0,"2
"
37,38,46,37,42,35,46,0.36,0,0,"2
"
37,38,46,37,42,35,46,0.4,0,0,"2
"
37,39,49,39,44,35,46,0.36,0,0,"2
"
38,39,49,39,44,34,47,0.27,0,0,"2
"
38,39,49,39,44,34,47,0.27,0,0,"2
"
37,39,46,36,43,35,47,0.37,0,0,"2
"
37,39,46,36,43,35,47,0.3,0,0,"2
"
37,39,46,36,43,35,47,0.32,0,0,"2
"
36,35,50,38,44,37,46,0.27,0,0,"2
"
36,35,50,38,44,37,46,0.26,0,0,"2
"
35,31,44,36,42,38,47,0.27,0,0,"2
"
35,31,44,36,42,38,47,0.26,0,0,"2
"
35,31,44,36,42,38,47,0.21,0,0,"2
"
35,35,44,33,43,40,49,0.29,0,0,"2
"
35,35,44,33,43,40,49,0.23,0,0,"2
"
35,41,45,37,44,40,49,0.27,0,0,"2
"
38,41,45,37,44,35,45,0.32,0,0,"2
"
38,41,45,37,44,35,45,0.29,0,0,"2
"
38,40,48,36,39,40,46,0.27,0,0,"2
"
38,40,48,36,39,40,46,0.2,0,0,"2
"
38,40,48,36,39,40,46,0.19,0,0,"2
"
34,39,53,35,44,36,43,0.25,0,0,"2
"
34,39,53,35,44,36,43,0.25,0,0,"2
"
38,37,46,36,43,36,46,0.25,0,0,"2
"
38,37,46,36,43,36,46,0.27,0,0,"2
"
38,37,46,36,43,36,46,0.14,0,0,"2
"
36,37,50,37,46,37,51,0.18,0,0,"2
"
36,37,50,37,46,37,51,0.21,0,0,"2
"
36,37,49,36,38,37,51,0.13,0,0,"2
"
32,36,49,36,38,38,44,0.12,0,0,"2
"
32,36,49,36,38,38,44,0.12,0,0,"2
"
32,37,48,36,43,35,48,0.14,0,0,"2
"
32,37,48,36,43,35,48,0.14,0,0,"2
"
32,37,48,36,43,35,48,0.14,0,0,"2
"
31,43,47,36,44,39,48,0.06,0,0,"2
"
31,43,47,36,44,39,48,0.09,0,0,"2
"
32,42,49,38,47,38,48,0.17,0,0,"2
"
32,42,49,38,47,38,48,0.16,0,0,"2
"
32,42,49,38,47,38,48,0.19,0,0,"2
"
32,37,48,36,47,37,49,0.18,0,0,"2
"
32,37,48,36,47,37,49,0.05,0,0,"2
"
32,37,48,33,42,37,49,0.08,0,0,"2
"
29,41,48,33,42,39,49,0.19,0,0,"2
"
29,41,48,33,42,39,49,0.1,0,0,"2
"
34,36,49,37,45,37,49,0.04,0,0,"2
"
34,36,49,37,45,37,49,0.09,0,0,"2
"
34,36,49,38,45,37,49,0.01,0,0,"2
"
36,38,46,38,42,33,49,0.07,0,0,"2
"
36,38,46,38,42,33,49,0.04,0,0,"2
"
36,42,48,37,43,40,49,0.01,0,0,"2
"
33,42,48,37,43,40,49,0,0,0,"2
"
33,42,48,37,43,40,49,0.05,0,0,"2
"
39,36,45,37,44,39,49,0.1,0,0,"2
"
39,36,45,37,44,39,49,0.06,0,0,"2
"
39,36,44,35,43,39,49,0.08,0,0,"2
"
34,41,44,35,43,35,48,0.03,0,0,"2
"
34,41,44,35,43,35,48,-0.03,0,0,"2
"
35,40,43,35,43,35,47,-0.04,0,0,"2
"
35,40,43,35,43,35,47,-0.05,0,0,"2
"
35,40,43,35,43,35,47,0.03,0,0,"2
"
34,41,45,35,41,37,45,0.04,0,0,"2
"
34,41,45,35,41,37,45,-0.04,0,0,"2
"
34,40,45,34,49,41,48,0,0,0,"2
"
35,40,45,34,49,41,48,-0.02,0,0,"2
"
35,40,45,35,49,41,48,0.02,0,0,"2
"
35,42,50,35,46,36,50,0.03,0,0,"2
"
35,42,50,35,46,36,50,-0.01,0,0,"2
"
35,43,46,33,45,29,50,0,0,0,"2
"
37,43,46,33,45,29,47,-0.06,0,0,"2
"
37,43,46,33,45,29,47,-0.02,0,0,"2
"
29,39,45,34,45,38,47,0.03,0,0,"2
"
29,39,45,34,45,38,47,0.01,0,0,"2
"
29,39,45,33,45,38,47,-0.05,0,0,"2
"
33,41,47,33,44,38,46,-0.04,0,0,"2
"
33,41,47,33,44,38,46,-0.01,0,0,"2
"
33,37,44,35,45,37,44,0.05,0,0,"2
"
36,37,44,35,45,37,44,0.04,0,0,"2
"
36,37,44,33,45,37,44,0.03,0,0,"2
"
31,37,45,33,45,36,49,0.04,0,0,"2
"
31,37,45,33,45,36,49,-0.14,0,0,"2
"
31,39,47,36,44,35,49,-0.06,0,0,"2
"
35,39,47,36,44,35,47,-0.14,0,0,"2
"
35,39,47,33,44,35,47,-0.14,0,0,"2
"
37,39,45,33,46,35,45,-0.05,0,0,"2
"
37,39,45,33,46,35,45,-0.04,0,0,"2
"
37,39,45,31,46,35,45,-0.04,0,0,"2
"
36,44,47,31,49,38,48,-0.03,0,0,"2
"
36,44,47,31,49,38,48,-0.1,0,0,"2
"
