MedB,MedT,MinB,MinT,MaxB,MaxT,MeanB,MeanT,Target,MeanB-T,MeanT-T,MeanB(cali),MeanT(cali)
45,47,43,44,46,47,44,45,20,24,25,21.69659443,17.83126935
45,47,43,44,46,47,44,45,20,24,25,21.69659443,17.83126935
45,45,43,44,46,47,44,45,20,24,25,21.69659443,17.83126935
45,45,43,44,46,47,44,45,20,24,25,21.69659443,17.83126935
45,45,43,44,46,47,44,45,20,24,25,21.69659443,17.83126935
45,45,42,44,46,47,44,45,20,24,25,21.69659443,17.83126935
45,45,42,44,46,47,44,45,20,24,25,21.69659443,17.83126935
44,45,42,44,46,47,43,45,20,23,25,20.69659443,17.83126935
43,46,42,45,46,47,43,45,20,23,25,20.69659443,17.83126935
43,46,42,45,46,47,43,46,20,23,26,20.69659443,18.83126935
43,47,42,45,47,47,44,46,20,24,26,21.69659443,18.83126935
43,46,42,45,47,47,43,46,20,23,26,20.69659443,18.83126935
43,46,43,45,47,47,44,46,20,24,26,21.69659443,18.83126935
43,46,43,45,47,47,44,46,20,24,26,21.69659443,18.83126935
44,46,43,45,47,47,44,46,20,24,26,21.69659443,18.83126935
44,45,43,45,46,47,44,45,20,24,25,21.69659443,17.83126935
45,46,43,45,46,47,44,45,20,24,25,21.69659443,17.83126935
45,45,43,45,46,47,44,45,20,24,25,21.69659443,17.83126935
45,45,43,45,46,47,44,45,20,24,25,21.69659443,17.83126935
45,45,43,45,46,46,44,45,20,24,25,21.69659443,17.83126935
44,45,43,45,45,48,44,45,20,24,25,21.69659443,17.83126935
44,45,42,45,45,48,43,45,20,23,25,20.69659443,17.83126935
44,45,42,45,46,48,43,45,20,23,25,20.69659443,17.83126935
44,45,42,45,46,48,44,45,20,24,25,21.69659443,17.83126935
44,46,42,45,46,48,44,46,20,24,26,21.69659443,18.83126935
44,46,42,45,46,48,44,46,20,24,26,21.69659443,18.83126935
44,46,44,45,46,48,44,46,20,24,26,21.69659443,18.83126935
44,46,41,45,44,48,43,46,20,23,26,20.69659443,18.83126935
44,46,41,44,44,48,43,46,20,23,26,20.69659443,18.83126935
44,46,41,44,49,47,44,45,20,24,25,21.69659443,17.83126935
44,46,41,44,49,46,44,45,20,24,25,21.69659443,17.83126935
44,45,41,44,49,46,44,45,20,24,25,21.69659443,17.83126935
44,45,44,44,49,46,45,45,20,25,25,22.69659443,17.83126935
44,45,43,45,49,46,45,45,20,25,25,22.69659443,17.83126935
